No,Urls,Video Name,View,Like,Comm,published_date,duration,minute,type,Engagement Rate,AVG View Duration,Views to Likes Ratio
323,https://www.youtube.com/watch?v=-fSXjxSj-wc,【The Bridge Curse 2: The Extrication】DEMO 🦋 ถนนสู่ทางเจอผีไม่พ้นทุกข์ | Marine Chariot #vtuber,708,25,3,2024-01-14,1:41:21,101.35,เล่นเกม,0.0395480226,0.03,28.32
324,https://www.youtube.com/watch?v=e9q9LLRtfEU,【FREETALK】🦋 สถานะการณ์สำคัญของช่องคุณหนู (ซีเรียส + จริงจัง)  | Marine Chariot #Vtuber,952,43,3,2024-01-13,1:02:29,62.48,ฟรีทอร์ก,0.04831932773,0.02,22.13953488
325,https://www.youtube.com/watch?v=XHqYY--xo-k,Chipi Chipi Chapa Chapa Dubi Dubi Daba Daba. Ft.Marine Chariot #vtuber #shorts,1050,97,5,2024-01-07,0:00:58,0.97,Shots,0.09714285714,0,10.82474227
326,https://www.youtube.com/watch?v=DsaBcr2jt4c,【Genshin impact】บท 4 ฉากที่2 - ไร้เหตุผลที่ฝนโปรยปราย 🦋 | Marine Chariot #vtuber,523,37,2,2024-01-07,1:36:40,96.67,เล่นเกม,0.07456978967,0.03,14.13513514
327,https://www.youtube.com/watch?v=kxYWxPuEsFk,【COUNT DOWN 2023】🦋 จากปีเก่า สู่ปีใหม่ 2024  | Marine Chariot #Vtuber #Newyear,4522,116,0,2023-12-31,2:01:48,121.80,ประกาศ/อีเวนต์,0.02565236621,0.04,38.98275862
328,https://www.youtube.com/watch?v=4rElR7AANug,【FREETALK &amp; CHILL】🦋 ร่วมขอพรสิ้นปี ให้ปีใหม่สุขสมหวัง  | Marine Chariot #Vtuber,243,22,4,2023-12-30,1:01:30,61.50,ฟรีทอร์ก,0.1069958848,0.02,11.04545455
329,https://www.youtube.com/watch?v=Xb0wqxxHLn8,เก็บตกจากคืนวันคริสมาสของคุณหนู ซานยีนแห่ง Christmas ปี 2023 #Vtuber,346,23,4,2023-12-26,0:01:25,1.42,ฟรีทอร์ก,0.07803468208,0,15.04347826
330,https://www.youtube.com/watch?v=NTaZXEDxK6M,【SPEACIAL LIVE】🦋 CHRISTMAS PARTY 2023  | Marine Chariot #Vtuber #Christmas,1318,46,2,2023-12-26,0:58:16,58.27,ประกาศ/อีเวนต์,0.03641881639,0.02,28.65217391
331,https://www.youtube.com/watch?v=m9Pkaz7DeYc,Ho ho ho ~ 🎄🦋,129,15,4,2023-12-25,0:00:04,0.07,ฟรีทอร์ก,0.1472868217,0,8.6
332,https://www.youtube.com/watch?v=iV741j65leQ,【HoloParade】🦋 ปกป้องฐานทัพ ร่วมด้วยช่วยกัน  | Marine Chariot #Vtuber,231,11,0,2023-12-24,1:14:36,74.60,เล่นเกม,0.04761904762,0.02,21
333,https://www.youtube.com/watch?v=dIGeUTviZL4,【FREETALK &amp; CHILL】🦋 1 ปีที่แล้วของคุณหนูเป็นยังไง เมื่อเทียบกับปัจจุบัน  | Marine Chariot #Vtuber,217,17,0,2023-12-23,1:00:22,60.37,ฟรีทอร์ก,0.07834101382,0.02,12.76470588
334,https://www.youtube.com/watch?v=uYbxYv3eHWI,ผีโครงกระดูก Gashadokuro และ สาวคอยาว Rokuro-kubi 【ตำนานผีญี่ปุ่น EP.3】,327,22,0,2023-12-17,1:05:44,65.73,เล่าเรื่องผี,0.06727828746,0.02,14.86363636
335,https://www.youtube.com/watch?v=qp8T7ZOEUo4,【FREETALK &amp; CHILL】🦋 ความสำเร็จของฉันในปี 2023  | Marine Chariot #Vtuber,268,20,2,2023-12-16,1:18:09,78.15,ฟรีทอร์ก,0.08208955224,0.02,13.4
336,https://www.youtube.com/watch?v=a5CmMKXQNLs,【#Genshinimpact】Lies Cast Shadows Under Gathered Lights- เงาใต้แสงสาดส่อง 🦋 | Marine Chariot #Vtuber,321,23,0,2023-12-11,2:26:03,146.05,เล่นเกม,0.07165109034,0.05,13.95652174
337,https://www.youtube.com/watch?v=aYcK5YWkqoM,【#Genshinimpact】Soloist&#39;s prologue - บทนำแห่งน้ำค้างขาวและคลื่นดำ (ต่อ) 🦋 | Marine Chariot #Vtuber,302,23,0,2023-12-10,2:18:32,138.53,เล่นเกม,0.0761589404,0.04,13.13043478
338,https://www.youtube.com/watch?v=2A3qVhWi-Ho,【FREETALK &amp; CHILL】🦋 นั่งเม้าพูดคุยเกี่ยวกับวันคริสมาส  | Marine Chariot #Vtuber,139,9,0,2023-12-09,1:00:22,60.37,ฟรีทอร์ก,0.06474820144,0.02,15.44444444
339,https://www.youtube.com/watch?v=vBWlFNZZMUs,【Green hell】🦋 บุกป่าฝ่าดง เอาชีวิตรอดในนรกสีเขียว! | Marine Chariot #Vtuber,305,21,0,2023-12-03,2:02:55,122.92,เล่นเกม,0.06885245902,0.04,14.52380952
340,https://www.youtube.com/watch?v=poC6Ky4FuQ0,【Genshin impact】Soloist&#39;s prologue - บทนำแห่งน้ำค้างขาวและคลื่นดำ 🦋 | Marine Chariot #Vtuber,297,13,0,2023-12-02,2:18:30,138.50,เล่นเกม,0.04377104377,0.04,22.84615385
